OID_,LandV_Num,Area,Site,LA_Year
24471,289611,0.043157991,Site29,2011
24472,113727,0.053075697,Site29,2000
24473,341700,0.061428533,Site29,2006
24474,13435,0.066841547,Site29,1975
24475,94326,0.060348919,Site29,1981
24476,11982,0.068373946,Site29,1975
24477,535600,0.069590686,Site29,2016
24478,133647,0.069597218,Site29,2001
24479,341235,0.069616683,Site29,2011
24480,127127,0.069602557,Site29,1999
24481,552499,0.069612605,Site29,2015
24482,29576,0.06962851,Site29,1979
24483,29559,0.069424393,Site29,1979
24484,274434,0.06418746,Site29,2004
24485,241165,0.064897413,Site29,2004
24486,369551,0.064891108,Site29,2015
24487,136213,0.034842038,Site29,2002
24488,44726,0.034696441,Site29,2002
24489,129831,0.069543981,Site29,2000
24490,134734,0.069554926,Site29,1989
24491,288301,0.069565418,Site29,2010
24492,462000,0.069567337,Site29,2006
24493,168412,0.069572185,Site29,1993
24494,110057,0.046415075,Site29,1997
24495,301667,0.046418901,Site29,2013
24496,155795,0.069503881,Site29,2000
24497,360703,0.046328781,Site29,2013
24498,228117,0.065190878,Site29,2002
24499,22622,0.065081127,Site29,1988
24500,98644,0.043319965,Site29,2001
24501,119218,0.034874736,Site29,1998
24502,159154,0.033958424,Site29,2012
24503,103276,0.032228356,Site29,1996
24504,21299,0.099565066,Site29,1975
24505,125023,0.035721303,Site29,2000
24506,474200,0.048172094,Site29,2007
24507,443829,0.043028655,Site29,2008
24508,196729,0.047065747,Site29,2003
24509,142538,0.062655158,Site29,1990
24510,526050,0.06264926,Site29,2014
24511,438672,0.038775674,Site29,2006
24512,163472,0.042290171,Site29,2002
24513,508421,0.062649611,Site29,2014
24514,214152,0.065477443,Site29,2010
24515,517767,0.062647786,Site29,2014
24516,21495,0.062648984,Site29,1976
24517,264706,0.058656292,Site29,2004
24518,676000,0.063547928,Site29,2016
24519,14881,0.06265909,Site29,1975
24520,371707,0.062651053,Site29,2008
24521,327673,0.068457208,Site29,2013
24522,108547,0.073532594,Site29,2010
24523,140166,0.062654386,Site29,1991
24524,133805,0.051140038,Site29,1994
24525,148480,0.065992331,Site29,1995
24526,181,0.000536189,Site29,1975
24527,19463,0.05242683,Site29,1976
24528,80081,0.055727189,Site29,1980
24529,70310,0.06380159,Site29,1995
24530,8257,0.030950253,Site29,1975
24531,185893,0.053918609,Site29,2012
24532,155157,0.05479125,Site29,2001
24533,371220,0.033423961,Site29,2007
24534,468000,0.039650947,Site29,2016
24535,304588,0.050804521,Site29,2009
24536,23792,0.055960819,Site29,1975
24537,260909,0.048278261,Site29,2012
